,centroid,clusters
974,entire volume,"entire amount, entire volume, finite volume"
975,entropy determined,"density determined, entirely determined, entropy decreasing, entropy derived, entropy determined, merely determines, objectively determined, reference determined, systems determined"
976,entropy grows,"entropy encoded, entropy gives, entropy grows, entropy growth, entropy imposed, entropy provided, entropy rises"
977,entropyBekenstein,"energiesBekenstein, entropyBekenstein, event horizonBekenstein, hole entropyBekenstein, horizonBekenstein, matterBekenstein"
978,entropyBekenstein boundblack,"energiesBekenstein boundblack, entropyBekenstein bound, entropyBekenstein boundblack, horizonBekenstein boundblack"
979,entropystatistical,"entropystatistical, hole entropystatistical, holestatistical, matterstatistical, merely statistically, predictable statistical"
980,equations associated,"assumptions associated, equation associated, equations associated, fluctuations associated, limitations associated, operations associated, repulsiveness associated"
981,equations despite,"equation expressing, equations describing, equations despite, equations require, invariant despite, quantized despite, transmutations despite"
982,equationsgeneral,"covariancegeneral, equationsgeneral, field equationsgeneral, gravitonsgeneral, justificationsgeneral, natural viewpointsgeneral, notation nngeneral, publicationsgeneral, relativizedgeneral, requirementsgeneral, violationgeneral"
983,equationsgeneral relativistic,"accelerationgeneral relativistic, approximationgeneral relativistic, covariancegeneral relativistic, equationsgeneral relativistic, gravitonsgeneral relativistic, interpretationsgeneral relativistic, justificationsgeneral relativistic, publicationsgeneral relativistic, repulsiongeneral relativistic, requirementgeneral relativistic, requirementsgeneral relativistic, violationgeneral relativistic"
984,equivalence relativizedconstraint,"equivalence relativizedconstraint, equivalencenegative massconstraint"
985,equivalent variation,"equivalence violation, equivalent additional, equivalent definition, equivalent repulsion, equivalent variation, equivalent variations"
986,events occurring,"elevator occurring, energy occurring, events occur, events occurring, momentum occurring, overdensities occurring, reversal occurring"
987,expect traditionally,"arguments traditionally, expect traditionally, reversal traditionally"
988,expected according,"approach according, evolution according, expected according, expected regarding, perspective according, reality according, reversal according, reversed according, unexpected according"
989,experience inside,"everywhere inside, experience anomalous, experience distinct, experience inside, experience opposite, experience space, experimentprinciple, experiments described, experiments provide"
990,experiencing repulsive,"experience repulsive, experiencing extreme, experiencing repulsive, experiencing reversed"
991,experimental constraint,"empirical constraint, experiment illustrates, experimental constraint, experimentally confirmed, experimentconstraint, fundamental constraints"
992,experimental facts,"empirical facts, experiment conducted, experimental data, experimental difficulties, experimental evidence, experimental facts, experimental results"
993,experimentcosmological principleequivalent,experimentcosmological principleequivalent
994,experimentnegative energy,"experiment withenergy, experimentnegative energy, experimentnegative mass, requirementsnegative energy"
995,explicitly define,"explicit definition, explicit mention, explicit statement, explicitly adding, explicitly arise, explicitly define, explicitly defined, explicitly involving, explicitly mention, explicitly refer, explicitly require, explicitly required, explicitly reversed, unexplainable decree"
996,explicitly equivalent,"explicitly equivalent, physical equivalent, principleequivalent"
997,explicitly violated,"explicitly allowed, explicitly guarantees, explicitly stated, explicitly violate, explicitly violated, irreconcilably violate"
998,facing theoretical,"achieving theoretically, basic theoretical, facing theoretical, failed theoretical, future theoretical, involves theoretical, maximum theoretically, speculative theoretical"
999,favored description,"favored assumption, favored degradation, favored description, frameworks describing, latter description, process descriptiontime, proper description, proposed description, quantized description"
1000,feature characterized,"absolutely characterized, effectively characterize, feature characterized, momentum characterized, otherwise characterized, parameters characterize, spaces characterized, systems characterized"
1001,field depends,"bodies depends, clearly depends, field appears, field degrees, field depending, field depends, field determines, field exists, field implies, fields depend, fields depends, viable developments"
1002,fieldequivalent,"fieldequivalent, forceequivalent, freedom equivalent, massequivalent, reversed equivalent, unique equivalent, voids equivalent"
1003,fieldgravitational repulsiongeneral,"fieldgravitational repulsiongeneral, gravitationgravitational repulsiongeneral, theorygravitational repulsiongeneral"
1004,fieldnucleuselectrostatic,"fieldnucleuselectrostatic, fieldnucleuselectrostatic field, gravitational fieldnucleuselectrostatic, mutual electrostatic"
1005,forbid transitions,"forbid transitions, forbidden transmutations, forbids individual, prevent transitions, shifting transitions, simply transition"
1006,forces arising,"bodies arising, bodies chasing, clues arising, effects arising, forceCoriolis, forces acting, forces applying, forces arising, forces exist, forces existing, forces resulting, processes arising, universe arising"
1007,forces instead,"action instead, consider instead, field instead, forces anywhere, forces exerted, forces instead, masses instead"
1008,formal statements,"formal statement, formal statements, unnecessary statements"
1009,frame draggingglobal,"draggingglobal, frame dragging, frame draggingblack, frame draggingglobal"
1010,frequencies backward,"frequencies backward, frequencies forward"
1011,fully agrees,"follow rigorous, fully agrees, fully aware, fully supported, generally agreed"
1012,fully understood,"actually understood, currently understood, fully understood, poorly understood"
1013,generalize,"Generalized, generality, generalizable, generalization, generalize, generalized, generalized mass, generalizes, generally, neutrality"
1014,generalized theory,"generalized Newton's, generalized theory"
1015,gravitation theories,"gravitation applies, gravitation theories, gravitation theory, gravitational theories, unification theories, unification theoriestime"
1016,gravitationBekenstein,"gravitation Einstein, gravitationBekenstein, gravitationBekenstein bound, quantum gravitationBekenstein"
1017,gravitational attractionvacuum,"gravitational attractionnegative, gravitational attractionvacuum, gravitational attractionvoids, gravitational dynamicsvacuum"
1018,gravitational energy,"gravitation energy, gravitational charge, gravitational energies, gravitational energy, gravitational entropy, radiation energy"
1019,gravitational entropyquantum,"gravitation gravitonsquantum, gravitational entropyBekenstein, gravitational entropyblack, gravitational entropyquantum, gravitational entropysecond"
1020,gravitational equivalent,"gravitational equivalent, gravitational fieldequivalent, gravitational forceequivalent, gravitationally equivalent"
1021,gravitational fieldconstraint,"Mgravitational repulsionconstraint, gravitational fieldconstraint, gravitational forceconstraint, gravitational massconstraint"
1022,gravitational fieldgravitational,"gravitational attractiongravitational, gravitational fieldgravitational, gravitational massgravitational, gravitationinertial gravitational"
1023,gravitational phenomenon,"gravitational phenomena, gravitational phenomenon"
1024,gravitational scalenegative,"gravitational dynamicsnegative, gravitational fieldnegative, gravitational forcenegative, gravitational massnegative, gravitational scalematter, gravitational scalenegative"
1025,gravitationally attract,"gravitationally attract, gravitationally attracted, gravitationally attracts, gravitationally interact, gravitationally interacts"
1026,grow,"arrow, blow, grip, group, grow, grows, growth, throw"
1027,handednessquantum,"handedness unveiled, handednessquantum, particle handednessquantum"
1028,highly suitable,"higher altitude, highly desirable, highly implausible, highly suitable, particularly suitable, simply unstable"
1029,hole located,"bodies located, hole decreases, hole evaporates, hole located, remotely located, role played, rule enunciated, size located, void located"
1030,hole mergerblack,"exotic matterblack, hole chargeblack, hole massblack, hole mergerblack, hole momentumblack, hole redshiftblack, wormhole traversableblack"
1031,hole simply,"context simply, decree simply, hole simply, hole stable, holes play, impossible simply, inapplicable simply, instead simply, result simply, sphere simply"
1032,holenegative,"bodiesnegative, decay problemnegative, forcenegative, forcesnegative, heatnegative, hole negative, holenegative, modelsnegative, pointnegative, problemnegative, problemsnegative, real negative, scalenegative, shellnegative, sourcenegative, statenegative, theoremsnegative, theoriesnegative, theorynegative, throw negative, timenegative"
1033,holenegative energy,"bodiesnegative energy, bosonnegative energy, conceptnegative energy, fieldnegative energy, forcenegative energy, heatnegative energy, holenegative energy, horizonnegative energy, massnegative energy, modelsnegative energy, pointnegative energy, problemnegative energy, problemsnegative energy, processesnegative energy, scalenegative energy, seenegative energy, shellnegative energy, signnegative energy, signsnegative energy, statenegative energy, thenegative energy, theoremsnegative energy, theoriesnegative energy, timenegative energy, withnegative energy, world-linenegative energy"
1034,hypothetical phenomenon,"hypothetical filled, hypothetical phenomenon, hypothetical shortcuts, hypothetical situation, hypothetical transformation"
1035,identical operation,"identical accelerations, identical electric, identical motions, identical operation, identical particle, identical positively, identity operation, scientific exploration"
1036,identified requirement,"idealized measurements, identified requirement, identified requisite, identify requirements, restrictive requirement"
1037,immediately cancel,"immediately annihilate, immediately cancel, immediately collapse, immediately enter, immediately returning"
1038,implication,"amplification, application, applications, enormous simplification, ideal situation, idealization, imagination, implication, implications, implicit choice, improvisation, official publication, publication, publications, simple motion, simplification"
1039,implicitly contained,"explicitly contained, implicitly combined, implicitly conforming, implicitly considered, implicitly contained, initially contained"
1040,important information,"Important clarifications, apparent information, certainly information, conditions information, fine-grained information, important difficulties, important implications, important information, significant information"
1041,important results,"important problems, important result, important results, important stumbling"
1042,improved notion,"improved conception, improved consistency, improved formulation, improved knowledge, improved notion"
1043,inappropriate assumption,"appropriate description, inappropriate assumption, inappropriate assumptions"
1044,including acceleration,"concerning acceleration, corresponding acceleration, including accelerated, including acceleration, including rotation, involving accelerations, resulting acceleration"
1045,incoming,"becoming, coinciding, enclosing, enduring, including, incoming, incoming flow, knowing, shortcomings, unlocking, upcoming"
1046,inconsistent,"basic consistency, consistent, fully consistent, inconsistencies, inconsistency, inconsistent, nonexistent, obtain consistent, truly consistent"
1047,incorrect hypothesis,"complex hypotheses, convenient hypothesis, discussed hypothesis, implicit hypothesis, incorrect appraisal, incorrect assessment, incorrect hypothesis, incorrect implicit"
1048,independence,"dependence, dependencies, incipient free, independence, independent, independently, interdependence, sign-dependent"
1049,independent concept,"independent concept, independent concepts, independent consistency, independent constraint, independent discrete, independent microscopic, independent systems, independently confirm, sign-dependent local"
1050,independent motive,"distance-dependent attractive, independent degree, independent explanation, independent mass, independent measures, independent motive, independent motives, independent physical, independent quantity, independently justifies, independently motivated, independently moving"
1051,independent parameters,"independent frameworks, independent parameter, independent parameters, independent particles, independent symmetry"
1052,independently contribute,"apparently contributes, independent contribution, independent contributions, independently conclude, independently constitutes, independently contribute"
1053,independently reversed,"independent reversal, independently determine, independently evolving, independently measured, independently observed, independently required, independently reversed, independently ruled, independently transformed"
1054,indirect evidence,"indirect effects, indirect evidence, indirect influence, indirect repulsive, indirectly deduce, overwhelming evidence"
1055,individual change,"individual change, individual changes, individually applying"
1056,inertial response,"identical response, inertial reference, inertial resistance, inertial response, initial presence, ordinary response, vertical component"
1057,inevitable,"immutable, inapplicable, indisputable, individually, inescapable, inevitability, inevitable, inevitably, insurmountable, intractable, inviolable, invisible, irrefutable, unavoidable, undesirable, unmistakable, unpredictable"
1058,influences,"coincidences, frequencies, influence, influenced, influences, influences exerted, influencing"
1059,information contained,"formations consisting, information concerning, information contained, information content"
1060,inhomogeneitiesnegative,"cosmic densitiesnegative, homogeneous negative, inhomogeneities provide, inhomogeneitiesinertial, inhomogeneitiesnegative, inhomogeneitiesnegative energy, inhomogeneity generally, inhomogeneity positive"
1061,initially assumed,"actually assumed, initially appeared, initially assumed, initially available, initially deduced, initially proposed, initially pursued, initially rejected, initially smooth, instead assume, intuitively assumed, naturally assume, normally assumed, originally assumed, usually assumed"
1062,insights required,"continuity requires, insight required, insights derived, insights gained, insights required, knowledge required, techniques required"
1063,instabilitywormhole traversabletime,instabilitywormhole traversabletime
1064,interaction despite,"interaction compatible, interaction decreases, interaction despite, interaction mediated, interaction obsolete, interaction vertex, interactions despite, interactions distinct, operation despite"
1065,interactionnegative,"Hawking radiationnegative, antigravitynegative, attractionnegative, interactionnegative, interactionnegative mass, interactionsnegative, interpretationnegative, mutual interactionsnegative, nuclear interactionnegative, underdensitynegative, withinteraction bosonnegative"
1066,interactions withtime,"interactions withconstraint, interactions withgeneral, interactions withinteraction, interactions withmatter, interactions withnegative, interactions withquantum, interactions withtime, interactions withvacuum, interactions withvoids"
1067,interpretation gives,"interpretation appears, interpretation fully, interpretation gives, interpretation suggested, interpretationnegative mass, interpretationsgeneral"
1068,intervals obtained,"intervals entering, intervals involved, intervals obtained, intervals relative, intervals spanned, intervals unchanged"
1069,invariant equations,"covariant equations, invariant equations, invariant external, invariant operation, invariant regardless, relevant equations"
1070,involve pairs,"involve changes, involve effects, involve pairs, involve reversed, involve twice, involved occur, involved occurs, involving pairs"
1071,irreversibility origintime,"irreversibility backward, irreversibility irreversible, irreversibility originnegative, irreversibility origintime, irreversibility thermodynamic, irreversibility unidirectional"
1072,justified assuming,"justified assuming, justifies assuming, justify assuming, unjustified prejudice"
1073,lateral motion,"average motion, backward motion, immaterial notions, initial motion, lateral components, lateral motion, lateral motions, material entity, overall motion"
1074,latter viewpoint,"current viewpoint, former viewpoint, global viewpoint, latter viewpoint, natural viewpoint, whatever viewpoint"
1075,lawequivalent gravitational,"accelerationequivalent gravitational, equivalent gravitational, fieldequivalent gravitational, forceequivalent gravitational, lawequivalent gravitational, massequivalent gravitational, principleequivalent gravitational"
1076,leaving absolutely,"agreed absolutely, allowing absolutely, growing absolute, involve absolutely, leaves absolutely, leaving absolutely"
1077,limitation imposed,"criteria imposed, limit imposed, limitation applying, limitation imposed, limitation involved, limitation naturally, limitation suggests, limitations imply, limitations imposed, limitations observed, limits imposed"
1078,limited regions,"empty regions, limited portions, limited regions, localized regions, remote regions, shifted origin, underdense regions"
1079,local causality,"local causality, local density, paradox causality, timelocal causalitytime"
1080,local concentration,"local acceleration, local concentration, local deceleration, locally concentrated, mass concentration, mass concentrations, scale concentrations"
1081,local effect,"Casimir effect, local absence, local effect, local effects, local event, local momenta, local presence, local source, overall effect, tidal effect, tidal effectblack"
1082,local perturbation,"external perturbation, local disturbances, local perturbation, local perturbations"
1083,local variations,"compensate variations, equal variations, ignored variations, joint variation, local variation, local variations"
1084,logically impossible,"becomes impossible, logically impose, logically impossible, totally impossible"
1085,longer positive,"assumed positive, compress positive, higher positive, larger positive, local positive, longer consider, longer constitute, longer crossing, longer justified, longer positive, longer provide, loses positive, lower positive, uniform positive, withdraw positive"
1086,lower energy,"allows energy, filled energy, higher energy, larger energy, leaves energy, longer centered, lose energy, low energy, lower density, lower energies, lower energiesenergy, lower energy, lowest energy, unlike energy"
1087,mass accelerationgeneral,"accelerationgeneral, mass accelerationdynamic, mass accelerationequivalent, mass accelerationgeneral, mass accelerationinertial, mass accelerationnegative"
1088,mass object,"dimensionless object, easily reject, legitimate subjects, mass concept, mass object, mass objects, mass observer, remote objects, various objects"
1089,mass obtained,"action obtained, mass contained, mass defined, mass obtained, mass squared, mass submitted, results obtained"
1090,mass opposite,"allows opposite, exact opposite, field opposite, mass opposite, repel oppositely, sign opposite, vast majority"
1091,mass-sign-distinguishing,"mass-sign-distinguishing, mass-sign-distinguishing behavior"
1092,massgeneral,"bodiesgeneral, mapsgeneral, mass equal, mass generalized, massgeneral, masskinetic, mattergeneral, nngeneral, ofgeneral, signgeneral, stategeneral, withgeneral"
1093,massgravitational repulsionnegative,"concentrationsgravitational repulsionnegative, entropygravitational repulsionnegative, massgravitational repulsiongravitational, massgravitational repulsionnegative, mattergravitational repulsionnegative"
1094,matched,"launched, match, matched, matches, method, seem far-fetched"
1095,mathematical aspects,"mathematical arguments, mathematical artefact, mathematical aspects, mathematical frameworks, mathematical objects, mathematically complete, systematically rejected"
1096,mattergravitational repulsionblack,"areagravitational repulsionblack, bodiesgravitational repulsionvacuum, mattergravitational repulsion, mattergravitational repulsionblack"
1097,mere energy,"carry energy, free energy, measure energy, mere energy, net energy, remove energy, sphere centered, stress-energy, theory energy, weak energy, zero energy"
1098,mere mathematical,"available mathematical, basic mathematical, core mathematical, elaborate mathematical, exact mathematical, existing mathematical, mentioned mathematical, mere mathematical, precise mathematical, theory mathematical, useful mathematical, various mathematical"
1099,merely confirm,"merely confirm, merely consists, merely denotes, merely happen, merely occur, merely occurs, merely voids, mostly uniform, quickly confirm, result confirms, severe conflict, simply confirms"
1100,merely constitute,"doesn't constitute, effect constitute, holes constitutes, merely constitute, merely constitutes, merely contribute, merely postulated"
1101,merely conventional,"fairly conventional, mere convention, merely conventional, purely conventional"
1102,merely required,"certainly requires, effect required, energy required, merely defines, merely established, merely required, otherwise required, territory requires, truly required"
1103,merely reverse,"likely refer, mere reversal, merely dependent, merely impose, merely observe, merely permute, merely reflect, merely reverse, safely traverse, simply reversed"
1104,merely significant,"becomes significant, certainly significant, entirely sufficient, extremely significant, merely significant, remain significant, truly significant, vary significantly"
1105,metric propertiesinertial,"metric propertiesgeneral, metric propertiesinertial, metric propertiesnegative"
1106,metric tensor,"compact tensor, metric conversion, metric devoid, metric tensor"
1107,microscopic degree,"microscopic binary, microscopic degree, microscopic degrees"
1108,microscopic event,"macroscopic event, microscopic aspects, microscopic event, microscopic level, microscopic levels, microscopic quantum"
1109,microstatessecond,"microstates compatible, microstatessecond, microwave background"
1110,misunderstanding regarding,"misunderstanding regarding, misunderstanding surrounding, understand regarding, understanding regarding"
1111,modelconstraint,"atom modelconstraint, fieldconstraint, forceconstraint, matterconstraint, modelconstraint, momentumconstraint, orderconstraint, problemconstraint, world-lineconstraint"
1112,mostly identical,"entirely identical, essentially identical, merely identical, mostly identical, mostly irrelevant, mostly neutral"
1113,motion unchanged,"action unchanged, field unchanged, momentum unchanged, motion machines, motion unchanged, none unchanged, positions unchanged"
1114,multiplied,"multiple, multiplied, multiplying, truly implied"
1115,naturally occurs,"actually occupy, bifurcation occurs, naturally enters, naturally occur, naturally occurs, naturally require, naturally tend"
1116,necessarily alter,"necessarily allowed, necessarily alter, necessarily appear, necessarily becomes, necessarily dealing, necessarily exist, necessarily expect, necessarily fall, necessarily follow, necessarily follows, necessarily incomplete, necessarily involve, necessarily observe, necessarily observed, necessarily occur, necessarily reach, necessarily reverse, necessarily transform, necessarily wrong"
1117,negative measure,"negative measure, negative measures, negative pressure, negative relative, relative measure, remarkable feature"
1118,negative temperaturesnegative,"entropynegative temperaturesnegative, infinite temperaturenegative, negative densitiesnegative, negative temperaturesnegative"
1119,neutron's,"Newton's, chargeneutron's, dipoleneutron's, momentneutron's, neutrino, neutrinos, neutron, neutron's, neutron's spin, neutrons, using Newton's"
1120,nevertheless ended,"nevertheless allowed, nevertheless allows, nevertheless appear, nevertheless apply, nevertheless consider, nevertheless defined, nevertheless derived, nevertheless ended, nevertheless exists, nevertheless expect, nevertheless indicated, nevertheless interacts, nevertheless observed, nevertheless unavoidable"
1121,nevertheless meeting,"nevertheless assuming, nevertheless begin, nevertheless certainly, nevertheless contribute, nevertheless examine, nevertheless important, nevertheless meeting, nevertheless mention, nevertheless rejecting"
1122,notion dependent,"becomes dependent, deductions dependent, direction-dependent, distance-dependent, forces dependent, mass sign-dependent, notion dependent, properties dependent, quantities dependent"
1123,object concerning,"choice concerning, expect concerning, knowledge concerning, object concerning, object contains, object trying, objective meaning, obtained concerning, rejected concerning"
1124,object experiencing,"bodies experiencing, mass experiencing, object experiences, object experiencing, observer experiencing, particle experiencing"
1125,object reaches,"object balances, object dropped, object encodes, object increases, object reaches, system reaches"
1126,observation clearly,"observables currently, observation clearly, observation probably, observationally acceptable, observations confirm, observations related, operation clearly, prediction clearly"
1127,observational evidencetime,"observational evidence, observational evidenceFeynman, observational evidencenegative, observational evidencetime"
1128,observed directions,"observe violations, observed direction, observed directions, observed variations, unanswered questions, unsolved questions"
1129,observed sign,"observed motion, observed sign, observed simply, observed value, observed voids, observer usually, overall sign"
1130,observer becomes,"observed phenomenon, observer becomes, observer feels, observer formed, observer provides, observer uniformly, observers arises, universe becomes"
1131,occur merely,"due merely, longer merely, occur locally, occur merely, occur relatively, occur simply, occurring merely, occurs merely"
1132,occur violations,"allow violations, allowed violations, minute violation, occur situations, occur variations, occur violations, real violation"
1133,offer,"differ, offer, offered, offering, offers, offset, outer, refer"
1134,operation effectively,"conditions effectively, configuration effectively, constraint effectively, distinction effectively, operation effectively, operations collectively"
1135,operation equivalent,"accelerationequivalent, distribution equivalent, operation equivalent, operation originally, operations equivalent, opposite equivalent"
1136,operation reverses,"absorption events, configuration reaches, electron reverses, operating regards, operation needs, operation relates, operation relating, operation reverses, operations engenders, operations reversal"
1137,operations based,"identified based, operation instead, operation obtained, operations allow, operations allowed, operations applied, operations backward, operations based, operations basic, operations charge, operations chosen, operations combined, operations happen, operations magnetic, operations merely, operations parity, operatorsstate, questions raised"
1138,operations depicted,"considerations indicated, expectations derived, operations defined, operations dependencies, operations depicted, operations describing, operations displayed, operations electric, operations identity, variations deduced"
1139,operations handednesstime,"operations handedness, operations handednessblack, operations handednessconstraint, operations handednessdiscrete, operations handednessquantum, operations handednesstime"
1140,operations involved,"configurations involved, contradictions involved, interaction involved, interactions involved, notions involved, operation involved, operation involves, operations involved, relationships involved, variations involved"
1141,operations spin,"mentioned spin, operation mainly, operation twice, operations CPT, operations PTC, operations action, operations distinct, operations fermion, operations joint, operations sign, operations space, operations spacetime, operations spin"
1142,operatorsstate vectorpropagatordiscrete,operatorsstate vectorpropagatordiscrete
1143,opposite acceleration,"absolute acceleration, assumed acceleration, observed acceleration, opposite acceleration, opposite accelerations, relative accelerations"
1144,original process,"exchange process, horizontal components, original approach, original process, original proposal, original suggestion, original universe, particular process, similar process, unstoppable process"
1145,originally denoted,"originally absent, originally defined, originally denoted, originally introduced, originally proposed, originates evolved, unwillingly deviated"
1146,otherwise appear,"hypothesis appears, otherwise apparently, otherwise appear, otherwise appeared, otherwise appears, otherwise arbitrary, otherwise empty, otherwise improbable, otherwise metaphysical, otherwise real, otherwise uniform, theories appear"
1147,otherwise positive,"Otherwise negative, otherwise constitute, otherwise describe, otherwise identical, otherwise interesting, otherwise positive"
1148,otherwise time-symmetric,"alternative time-symmetric, appropriate time-symmetric, freedom time-symmetric, observed time-asymmetry, otherwise time-symmetric"
1149,outside surrounding,"confusion surrounding, field surrounding, outcome surrounding, outside surrounding, region surrounding, universe surrounding"
1150,outstanding problemstime,"outstanding problems, outstanding problemsblack, outstanding problemsgeneral, outstanding problemsnegative, outstanding problemssecond, outstanding problemstime"
1151,paradoxical,"allow paradoxical, astronomical, paradoxical, paradoxically, paradoxtime, plain logical, somewhat paradoxically"
1152,paradoxwormholewormhole,"paradoxwormholewormhole, travel paradoxwormholewormhole"
1153,paradoxwormholewormhole traversablewormhole,paradoxwormholewormhole traversablewormhole
1154,parameters relative,"parameter relative, parameters defining, parameters relative, parameters relevant, perspective relative"
1155,particle accelerates,"particle accelerates, particle accelerating, particle accelerators, particles accelerated"
1156,particle charges,"identical charges, particle changes, particle charges, particle chargesblack, particle crosses, particle energies, particle theories, particle trajectories, particle's charges, particles happen"
1157,particle confined,"particle confined, particle consequently, particle contained, particle content, particle continues, particle couldn't, particle defined, particles combined, particles constrained, particles contained, particles defined, particularly confident"
1158,particle world-linequarkfermiontime,"particle world-linefermiontime, particle world-linequarkfermiontime, world-linequarkfermiontime"
1159,particles distinct,"parameter distinct, particle's displacement, particles distinct"
1160,particular action,"particles action, particular Newtonian, particular action, particular aspect, particular convention, particular definition, particular expression, particular manifestation, particular scale, particular vision, particularity allows, particularly obvious"
1161,particular energy,"particles energy, particular concern, particular energy, particular epoch, particular measure, particular reference, particularly noteworthy, particularly relevant, particularly useful"
1162,pay,"Max, key, pay, play, try, vary"
1163,perfect analogy,"accidental analogy, current analogy, difference analogous, helpful analogy, perfect agreement, perfect analogy, perfect example, sphere analogy"
1164,permanent outcomes,"Permanent address, dipole momentneutron's, permanent outcomes, predict outcomes"
1165,phenomenological aspects,"phenomenological arguments, phenomenological aspects, phenomenological considerations, phenomenological viewpoint, phenomenologically distinct"
1166,phenomenologically equivalent,"phenomenological equivalence, phenomenologically apparent, phenomenologically equivalent"
1167,physical distinction,"categorical distinction, physical distinction, physical distinctions, physical interaction, physically distinct, physically distinguish, unmistakable distinction"
1168,physical laws,"analysis allows, physical causes, physical changes, physical elements, physical laws, physical objects, physical points, physical relevance, physical space, physical vacuum, physically allowed, physics papers, statistical laws"
1169,physical meaning,"crucial turning, metaphysical reference, physical meaning, physical quantity, physical reality, physical theories, physical underpinning, physically meaningful"
1170,physical requirementsgeneral,"physical requirementsgeneral, physical requirementsnegative"
1171,plates,"Updated, What's, places, planet, planets, plates, played, polarities, what's"
1172,plausible hypothesis,"plausible hypotheses, plausible hypothesis, quantization hypothesis"
1173,positive territory,"familiar territory, negative territory, positive territory, unknown territory"
1174,possibly rotating,"irresponsible time-wasting, possibly correspond, possibly requiring, possibly rotating, uniformly rotating"
1175,potentially offering,"potentially affecting, potentially contribute, potentially forbidden, potentially offering, potentially respond"
1176,previously remarked,"previously argued, previously reached, previously remarked"
1177,principle goes,"principle applies, principle becomes, principle developed, principle energy, principle goes, principle imposes, principle integrally, principle requires, principle vary, principlegeneral"
1178,probability amplitude,"probability amplitude, probability amplitudes"
1179,problemgeneral,"decay problemgeneral, problem ofgeneral, problemenergy, problemgeneral, problems encountered, problemsgeneral, proposalsgeneral, variablesgeneral"
1180,problemgeneral relativistic,"principlegeneral relativistic, problemgeneral relativistic, problemsgeneral relativistic, propertiesgeneral relativistic, proposalsgeneral relativistic, variablesgeneral relativistic"
1181,problems using,"pressure pulling, problem usually, problems facing, problems raised, problems ranging, problems using, problems usually, problemssecond"
1182,problemtime travel,"entropytime travel, paradoxtime travel, problemstime travel, problemtime travel, traversabletime travel"
1183,process discussed,"approaches discussed, aspect discussed, experiments discussed, hypothesis discussed, issue discussed, phenomenon discussed, problem discussed, problems discussed, process despite, process discussed, process perceived, processes described, processes discussed, progress achieved, properties discussed, rarely discussed, results discussed, theorem discussed"
1184,process forward,"occur forward, process backward, process consists, process except, process forward, travelling forward"
1185,processes occur,"processes obeying, processes occur, processes occurring, processes similar, processesblack, processessecond, processesvacuum"
1186,produce perpetual,"allow perpetual, forceperpetual, produce perpetual, producing perpetual, useful energyperpetual"
1187,produce results,"predict features, predicted result, produce results"
1188,properties experienced,"configuration experienced, contributions experienced, properties attributed, properties experienced, properties understood"
1189,propertiesinertial gravitational,"accelerationinertial gravitational, experimentinertial gravitational, geometryinertial gravitational, inhomogeneitiesinertial gravitational, propertiesinertial gravitational, referenceinertial gravitational"
1190,proposed generalized,"consistent generalized, discussed generalized, proposed alternative, proposed generalized"
1191,proposes,"processes, programs, properly, proposal, proposals, propose, proposed, proposes, proposing, protons, purposes, valid proposal"
1192,proved,"broken, dropped, improved, probe, probed, problem, proceed, proper, prove, proved, pursued, shrouded"
1193,pure thermodynamic,"anti-thermodynamic, described thermodynamic, equivalent thermodynamic, fluctuating thermodynamic, hole thermodynamics, maximum thermodynamic, non-thermodynamic, observed thermodynamic, operationsthermodynamic, produce anti-thermodynamic, pure thermodynamic, quantum chromodynamics, strictly thermodynamic, theory seethermodynamics"
1194,quantitative methods,"quantitative aspects, quantitative detail, quantitative framework, quantitative methods, quantitative model, quantitative predictions"
1195,quantum mechanical,"quantum mechanical, quantum mechanically, quantum mechanics"
1196,rarely,"carefully, easily, hardly, largely, namely, parcel, partly, purely, randomly, rapidly, rarely, safely"
1197,reading,"Breaking, Regarding, amazing, breaking, ceasing, creating, dealing, deciding, extending, keeping, leaving, meaning, mediating, misleading, operating, placing, preceding, radiant, reaching, readily, reading, reassuring, regarding, relating, relying, removing, spreading, standing"
1198,real difference,"energy difference, energy differences, extreme difference, mere difference, non-trivial difference, physical difference, real difference, relative difference, relative differences, slight difference, treated differently"
1199,real particles,"C-related particles, areas carries, create particles, created particles, identical particles, observable particles, prevent particles, prevents particles, real forces, real particle, real particle's, real particles, regular particles, relates particles, scale particles, sign particles, virtual particle, virtual particles"
1200,real significance,"absolute significance, clear significance, objective significance, profound significance, real significance, utmost significance"
1201,real value,"final value, greater value, higher values, irreducible value, net value, null value, real feature, real value, remain valid, residual value, zero value"
1202,reference affecting,"imbalance affecting, reference Concerning, reference affecting, reference lacking, referenceinertial, referencematerial"
1203,reference scale,"reference defined, reference dictated, reference emerge, reference purpose, reference relative, reference scale, reference singled, referenceMach's, referencedynamic, referenceglobal"
1204,relate physical,"compare physical, conjugate physical, defined physical, exact physical, exist physical, localized physical, reading physics, relate physical, related physical, relegate epistemology, relevant physical, remains physically, reverses physical, similar physical, single physical, space-related physical, specific physical, theory physical, time-related physical, unique physical, useful physics, well-defined physical"
1205,related interaction,"associated interaction, assumed interaction, described interaction, quantized interactions, related annihilation, related interaction, related operators, repulsive interaction, retarded interaction"
1206,related problem,"central problem, decay problem, detailed probing, discussed problem, down-to-earth problem, embarrassing problem, intractable problem, latter problem, related ensemble, related figures, related issues, related problem, related processes, related reality, relativity problem, research program, unrelated problem, worse problem"
