,centroid,clusters
1432,abstract measure,"Abstract measure, abstract measure, attractive picture, contexts---abstract measure"
1433,addition operation,"addition formula, addition operation, addition operations, additive notation"
1434,algebraic,algebraic
1435,algebras,algebras
1436,algebras,algebras
1437,algebras,algebras
1438,aller,"Agler, Euler, Fallieros, Floer, Fuller, Miller, Salle, Schauffler, Smaller, Walter, Weller, aller, alter, older, smaller"
1439,alp,"Ball, Halm, Halp, Klep, Wall, Walzl, abzzzlp, ago, aleph, alephs, alg, alp, alpha, auf, klep"
1440,alternative description,"alternative axiomatization, alternative description, alternative descriptions, alternative formulation, alternative presentation"
1441,anpzzroj,"Forpzzroj, Givenpzzroj, Lpzzroj, Spzzroj, Thenpzzroj, aboutpzzroj, allpzzroj, andpzzroj, anpzzroj, anypzzroj, apzzcdota, endow Spzzroj, forpzzroj, frompzzroj, iipzzroj, inpzzroj, mappzzroj, ontopzzroj, pzzroj, somepzzroj, thatpzzroj"
1442,arbitrary injective,"arbitrary function, arbitrary infima, arbitrary injective, arbitrary lattice, arbitrary objects, properties ofinjective"
1443,basic examples,"Central examples, Specific examples, basic concepts, basic example, basic examples, basic shape, classical examples, construct examples, exist examples, prefer examples, various examples"
1444,bundle,bundle
1445,bundle,bundle
1446,calculations,"Calculation, Calculation shows, Calculational, Calculations, QED calculations, calculating, calculation, calculation exists, calculational, calculations, calculations alpha, calculations using, cancellations, half-periods"
1447,cardinal algebras,"cardinal algebra, cardinal algebras, cardinal values, corona algebras, matrix algebras"
1448,category-theoretical,"category-theoretic, category-theoretical, category-theoretical notation"
1449,classes proper,"allowing proper, classes becomes, classes proper, makes proper"
1450,closed,closed
1451,closureclosure iiXzzclosure,closureclosure iiXzzclosure
1452,complementedrelatively,"complemented lattice, complementedrelatively, complementedsectionally"
1453,complementedsectionally complementedrelatively,complementedsectionally complementedrelatively
1454,complete,complete
1455,concept,"cancels, concept, concepts, concern"
1456,constant value,"compiled value, constant value, constant values, contains values"
1457,context---for instance,"context---for instance, purposes---for instance"
1458,continuous geometry,"Continuous Geometry, Forcontinous geometry, continuous geometries, continuous geometry, continuous geometry"", continuous regular, converges geometrically, ofcontinous geometry"
1459,crucial importance,"crucial importance, exceptional importance, particularly important, relative importance"
1460,current,"Barrett, Laurent, correct, current, current lack, current level, currentc-mec, currently, currents, incorrect"
1461,definable functiondefinable,definable functiondefinable
1462,define elements,"Define elements, define elements, define enumerative, define objects, denote elements, exist elements, hyperfine experiments, inductively elements, large"" elements, neutral elements, obtain elements"
1463,defined orthogonality,"Define orthogonality, canonical orthogonality, defined orthogonality, elementary orthogonality, standard orthogonality"
1464,definition underlying,"definition included, definition underlying"
1465,definitiondefinition,"definitionDefinition, definitiondefinition, definitiondefinition lemma"
1466,der Math,"Acta Math, Duke Math, III MacL, Lerm Metz, London Math, Manuscripta Math, Nagoya Math, Pure Math, der Math, der math"
1467,difficult result,"definitive result, difficult aspect, difficult problem, difficult result, difficult results, difficult technical"
1468,dimension functions,"Dimension functions, dimension function, dimension functions, measure functions"
1469,dimension monoid,"dimension monoid, dimension monoids, dimension theory"
1470,dimension-theoretic,"dimension-theoretic, dimension-theoretic results, dimension-theoretical, earlier dimension-theoretic"
1471,dimension-theoretical properties,dimension-theoretical properties
1472,direct generalization,"d-orbifold generalization, direct generalization, direct verification, drastic generalization, infinite generalizations, obvious generalization"
1473,distinguished,"distinguish, distinguished, distinguished zero, fitting worked"
1474,easily generalized,"easily generalized, material generalizes, so-called generalized, theory generalized"
1475,easy exercise,"analyze precise, easy exercise, easy exercises"
1476,element ofVzzofR,"element VzzofNSIR, element ofVzzofR, elements ofDzzrng, elements ofpzzroj, ideal ofVzzofR, order-unit inVzzofR, unit ofVzzofR"
1477,eliminated,"dominated, easily eliminated, eliminate, eliminated, elimination, elucidate, elucidated, elucidates, helium isotopes"
1478,encounter,"encounter, encountered"
1479,equal---before,"equal---before, equal---before forming"
1480,equipotency iiequipotency,equipotency iiequipotency
1481,equivalent,equivalent
1482,espalier espalier,espalier espalier
1483,espalier espalier,espalier espalier
1484,espalier espalier,espalier espalier
1485,espalierespalier,espalierespalier
1486,espalierespalier,espalierespalier
1487,espalierespalier,espalierespalier
1488,espalierespalier,espalierespalier
1489,espalierespalier Boolean,"espalierespalier Boolean, espalierespalier bounded, espalierespalier follows, espaliersespalier Boolean, pre-espalierespalier Boolean"
1490,espalierespalier arising,"espalierespalier andDzzrng, espalierespalier arising, espaliersespalier discussed, espaliersespalier obtained, espaliersespalier satisfying"
1491,espaliersespalier,espaliersespalier
1492,espaliersespalier,espaliersespalier
1493,exist,exist
1494,exists,exists
1495,fail,"Feil, Paul, Phil, fail, fails, fair, fairly, faithful, tail"
1496,finite ones,"finite follow, finite joins, finite meets, finite modules, finite ones, finite sets, finite sums, finiteness, inside loops, limit becomes, transfinite ones"
1497,fortunately,"Fortunately, analyses unfortunately, formulate concisely, fortunately, unfortunately"
1498,fundamental example,"fundamental basis, fundamental class, fundamental example, fundamental examples, fundamental principle, fundamental result"
1499,generated,generated
1500,generates,generates
1501,idempotent homomorphism,"idempotent homomorphism, idempotents isomorphic, monoid homomorphism, one-to-one homomorphism"
1502,iiRzzinfty,"Zzzinfty, class Zzzinfty, iiRzzinfty, iiTzzinfty"
1503,inVzzofNSIR,"VzzofNSIR, inVzzofNSIR, ofVzzofNSIR, thatVzzofNSIR"
1504,infinite orthogonal,"infinite orthogonal, maximal orthogonal, pairwise orthogonal, strongly orthogonal, uncountable orthogonal"
1505,initial ordinal,"arbitrary ordinal, coinitial coinitial, initial ordinal, initially obvious, limit ordinal"
1506,injective module,"essential submodule, infinite module, injective group, injective hulls, injective module, injective modules, injective modulesring, ofinjective hull, projective complex"
1507,interiorinterior iiXzzinterior,interiorinterior iiXzzinterior
1508,involutive anti-automorphismpzzroj,involutive anti-automorphismpzzroj
1509,involve forcing,"involve choosing, involve compact, involve forcing, involve forming, involve perturbing, iterated forcing"
1510,isomorphismpzzroj,"anti-automorphismpzzroj, isomorphic toVzzofR, isomorphism Zzzgamma, isomorphism fromDzzrng, isomorphism frompzzroj, isomorphismVzzofR, isomorphismpzzroj, isomorphismpzzroj SVzzofR"
1511,latter consists,"Carnevale consists, formulation consists, latter consists, paper considers, review consists, strict consists"
1512,lattice complete,"Dedekind complete, disjoint complete, fairly complete, handling complexities, iiDedekind complete, lattice complemented, lattice complete, lattice sectionally, latticelattice complete, suitable complete"
1513,lattice-theoretical definition,"Lattice-theoretical generalizations, lattice-theoretical definition, lattice-theoretical definitions, lattice-theoretical version"
1514,latticeslattice ofAW,"latticelattice modular, latticeslattice ofAW, latticeslattice sectionally"
1515,letpzzroj,"Letpzzroj, Putpzzroj, letpzzroj, letpzzrojst, putSzzbul, putXzzbot"
1516,longer sets,"Convex Sets, clopen sets, convex sets, longer sets, longer works, meager sets, momentum sets"
1517,majorized trim,"majorized finite, majorized trim"
1518,map,map
1519,map,map
1520,map,map
1521,map,map
1522,map,map
1523,map,map
1524,maximal quotient,"Maximal quotient, maximal quotient, typical wavelength"
1525,maximalantichain,"antichainantichain, maximal antichain, maximalantichain, maximalring maximal"
1526,missing,"main missing, missing, missing item, mixing, passing"
1527,modular latticelattice,"complete latticelattice, modular latticelattice, modular latticeslattice"
1528,monoid VzzofR,"Malanotte Rizzoli, monoid VzzofR, monoid Zzzgamma, monoidSzzRef, monoidVzzofR, monoiddzzimL, monoids Dzzrng, submonoid ofVzzofR"
1529,monoid introduced,"function introduced, monoid introduced, monoid produces, previously introduced, products introduced"
1530,natural numbers,"natural boundary, natural guess, natural numbers, natural types, rational numbers, real numbers, unnaturalness pervades"
1531,nontrivial direction,"non-trivial direction, nontrivial cancellation, nontrivial conditions, nontrivial direction, nontrivial homogeneous, reversing directions"
1532,nonzero projection,"generated projective, largest projection, nonzero location, nonzero projection, nonzero projections, nonzero projectionspzzroj, smallest projection"
1533,observe thatVzzofR,"Observe thatpzzroj, clear thatVzzofR, observe thatVzzofR"
1534,onVzzofR,"SVzzofR, SinceVzzofR, VzzofR, andVzzofR, caseVzzofR, eachVzzofR, inVzzofR, map onVzzofR, ofVzzofR, onVzzofR, someVzzofR, thatVzzofR, toVzzofR"
1535,orthogonal direct,"orthogonal direct, orthogonal directly, orthogonal projections, orthogonality property, orthogonality relation"
1536,parameter,"paradoxes, parameter, parameters, six-parameter, two-parameter"
1537,plan,"Gpoag, flat, plain, plan, plane, play, plus, polar"
1538,preliminary results,"Preliminary version, auxiliary results, preliminary calculations, preliminary lemmas, preliminary results"
1539,probably,"Broadly, probability, probably, probably wouldn't"
1540,procedure,"procedure, procedure adapted"
1541,projectionspzzroj,"conditionspzzroj, projectionpzzroj, projections Berberian, projections ofDzzrng, projectionspzzroj, provides anpzzroj"
1542,projective projectivity,"decomposition projectivity, notation perspectivity, projectionprojection, projective projectivity, projectivity projectivity, prove distributivity"
1543,proper direct,"preserves direct, productdirect, proper direct, proper treatment, propose direct, prove directly, proved directly, serious defect"
1544,pzzroj SDzzrng,"clear thatDzzrng, ofpzzroj SDzzrng, pzzroj SDzzrng, pzzroj SVzzofR"
1545,quotient ring,"questions arising, quotient ring, quotient ringring, quotient rings"
1546,range dimension,"fixed dimension, larger dimension, mixed dimension, monoiddimension, monoidsdimension, pure dimension, range dimension, rangedimension, rangesdimension, real codimension, smaller dimension"
1547,real extension,"Boolean extensions, generic extension, real dimension, real extension, unique extension, zero extension"
1548,reducible ones,"Reducible von, reducible Type, reducible ones, reduciblecontinous"
1549,refining unrestrictedly,"additive unrestrictedly, assigning uncertainties, refining unrestrictedly"
1550,relation holds,"Zealandigor klep, behaviour comes, claim holds, condition holds, notation helps, reflection shows, relation coincides, relation expressing, relation fails, relation holds, relationships, relative roles"
1551,replace countable,"accuracy achievable, replace countable, replacing countable"
1552,replacing isomorphism,"commuting isomorphisms, corresponding isomorphisms, espalier isomorphic, replace isomorphism, replacing isomorphism"
1553,represent,"lines represent, represent, represents"
1554,respectivement congruentes,respectivement congruentes
1555,result,result
1556,result,result
1557,result shows,"lemma shows, result follows, result gives, result holds, result involves, result makes, result shows, results allows, results shown, results similar"
1558,roles,"MPolFS, PolFS, Solel, holds, poles, poles"", role, roles, routes, rules, solely"
1559,scale follows,"latter follows, proof follows, readily follows, scale comes, scale follows, statement follows, static Coulomb, sufficiency follows"
1560,second-order,"coupled second-order, first-order, second-order"
1561,set-theoretical paradoxes,"set-theoretic difficulties, set-theoretical paradoxes, set-theoretical practice, set-theoretical terminology"
1562,sharper statement,"minimality statement, sharper statement, stronger statement, uniqueness statement"
1563,simultaneously,"families simultaneously, nucleons simultaneously, proves simultaneously, simultaneously, simultaneously polarize"
1564,stably finite,"finitestably finite, ifstably finite, stably finite, stably finitestably, suitable choice"
1565,structures satisfying,"structure satisfying, structures anyway---and, structures satisfying"
1566,subset,subset
1567,subset ofVzzofNSIR,"densedense inVzzofNSIR, satisfied inVzzofNSIR, subset ofVzzofNSIR"
1568,sum defining,"LMI defining, Semidefinite, axioms defining, minimal defining, semidefinite, sum defining, system defining, system engineering"
1569,trim sequence,"transfinite sequence, trim sequence, trim sequences"
1570,understood,"easily understood, poorly understoodMEC, understand, understood, understoodMEC, well-understood"
1571,undesirable set-theoretical,"undesirable set-theoretical, well-established set-theoretical"
1572,unique projections,"central projections, define projections, exist projections, infinite projections, unique projection, unique projections, unique solution"
1573,using Corollary,"strengthen Corollary, using Bohr-Sommerfeld, using Corollaire, using Corollary, whence Corollary"
1574,where---as above---we,where---as above---we
1575,write Dzzrnggf,"Hence Dzzrnggf, write Dzzrnggf, write MzzodR, writeabbtzzrim"
1576,nuclear physics,"Nonlinear physics, Nuclear Physics, Nuclear physics, Nuclear processes, light-nuclear physics, modest physics, nuclear electric, nuclear physicists, nuclear physics, nuclear physicshenry, nuclear physicspc, nuclear theorists, ocean physics, useful physics"
1577,results,results
1578,shift,"Phif, Schmidt, shift, shift helium, shift muonic, shiftLamb, shifts"
1579,polarizability,"Polarizability, polarizabilities, polarizability, polarizability Coulomb, polarizability tensor, polarizationVacuum, proton probability"
1580,radii,"Brasil, Pacific, aadzzi, radial, radii, radii wave, radius, ratio"
1581,measurements,"MeasurementsThe, measure moments, measureLebesgue, measured mean-square, measurement, measurement Nucleus, measurement tests, measurements, measurements provide"
1582,proton,"Arkatov, Hylton, Kyoto Univ, Proton, Thurston, photon, photons, proton, proton size, proton's, protons, protons', radii proton"
1583,nuclei,"Machleidt, Nuclei, Nucleon, nuclei, nucleon"
1584,exchange,"base change, easy changes, exchange, exchange binds, exchanged, exchanges, exchanging, unchanged"
1585,moments,"amounts, moment's, momenta, moments, moments adds, momentum"
1586,potential,"Potential, potential, potential inside, potential looks, potential term, potentials, pseudopotential"
1587,wave function,"Green's Function, Yukawa function, rank function, six functions, transfer-function, wave function, wave functionNuclear, wave functions"
1588,dominant,"dominant, dominate"
1589,hyperfine,"Hyperfine, Hyperfine Int, QED hyperfine, hyperfine, hyperplane"
1590,nuclear calculations,"accurate calculation, earlier calculations, function calculations, impressive calculation, nuclear calculations, nuclear informationsav-nu, nuclear magnetization, nucleon levelGDH-nuc, previous calculations, published calculation, recent calculation"
1591,result,result
1592,Lamb shift,"Lamb shift, Lamb shiftLamb, Lamb-shift, phase shift, shiftLamb shift"
1593,mean-square radius,"mean-square radii, mean-square radius"
1594,mechanisms,"Mechanisms, Mekhanika, mechanics, mechanism, mechanisms, mechanisms affect, recognizes"
1595,nuclear forces,"Nuclear forces, Nuclear scales, nuclear Compton, nuclear aspects, nuclear effects, nuclear forces, nuclear models, nuclear observables, nuclear problem, nuclear scales, nuclear-force, nuclear-force regime, nucleon degrees, nucleon resonances, singular forces"
1596,accuracy,"Accurate, accuracy, accurate, accurately, darcy D'Arcy"
1597,atomic physics,"Atomic Physics, atomic physicist, atomic physicists, atomic physics, atomic physicsingo, atomic scales"
1598,current density,"charge density, current achievements, current densities, current density, current densityNuclear, current terminology"
1599,expansion,"expansion, expansions, expansions due, explanation, extension, extensions"
1600,hyperfine splittings,"Hyperfine splitting, atomsHyperfine splitting, hyperfine calculations, hyperfine splittingHyperfine, hyperfine splittings, hyperfine splittingsav-nu"
1601,meson-exchange currents,"meson-exchange currents, meson-exchange currentsNuclear, meson-exchange mechanism"
1602,nuclear contributions,"Smaller contributions, nuclear contributions, nuclear convection, nuclear corrections, nuclear interactions, valuable contributions, various contributions"
1603,precise atomic,"Precise Atomic, existing atomic, precise atomic, precise relationships"
1604,charge radius,"charge radius, charged cloud, charged particles, charged pions, smaller radius"
1605,electric polarizability,"Electric polarizability, deuteronElectric polarizability, electric polarizability, electric polarizabilityElectric, electricElectric polarizability, electricPolarizability, electricPolarizability electric, nucleiElectric polarizability, usual electricPolarizability"
1606,finite size,"finite size, finite sum, finite type, finite-size, finite-sizeLamb"
1607,generated,generated
1608,generates,generates
1609,illustrated,"illustrate, illustrated, illustrates, illustrating, pion illustrated"
1610,isotope,"D-H d-pIsotope, D-H isotope, Isotope, d-pIsotope, isotope, isotopes, isotropy, kusm kyoto-u, kyoto-u, lithium isotopes, prototype, shiftIsotope, shiftsIsotope"
1611,leading-order,"leading powers, leading term, leading-order, sub-leading-order"
1612,meson-exchange,"meson-exchange, photon exchange, pion exchange, pion-exchange"
1613,normalization,"Communication, Coordinatization, axiomatization, localization, measured normalization, normal Archimedean, normal situation, normalization, normalization fully, polarization, stabilization, trivialization"
1614,nuclear charge,"Nuclear charge, nuclear analogue, nuclear charge, nuclear charges, nuclear energy, nuclear target, point-nucleon charge, static charge"
1615,nuclear potential,"Riccati pseudopotential, nuclear potential, nuclear potentials, nucleon-nucleon potential, simplified potentials"
1616,nucleus,"Nucleons, Nucleus, nucleons, nucleus, null sets"
1617,perturbation theory,"Deformation-obstruction theory, Integration theory, deformation theory, perturbation arises, perturbation theory, perturbation theoryChiral, perturbative method"
1618,strong-interaction,"Breit interaction, Coulomb interaction, Lagrangian intersection, atomic interactions, strong-interaction, transfinite induction, underlying strong-interaction"
1619,technique,"Carlo technique, GFMC technique, primary technique, technical, technique, techniques"
1620,Electron-nucleus scattering,"Electron-nucleus scattering, anglesElectron-nucleus scattering, electron-nucleus hyperfine, experimentsElectron-nucleus scattering, nucleon-nucleon scattering, scatteringElectron-nucleus scattering"
1621,Karshenboim,"Karshenboim, Karshenboimsav-nu, Marsden Fund, Savely Karshenboim, mapsharmonic"
1622,Proceedings,"Conference Proceedings, Proceedings, proceeding, produce rings"
1623,atomic experiments,"atomic experiment, atomic experiments, atomic measurements, nuclear experiments, utilizing experimental"
1624,binding energies,"binding effects, binding energies, binding energy, binding generates, excitation energies, kinetic energies"
1625,electron,"atomic electron, electric, electromagnetic, electron, electron's, electronic, electrons, few-electron, selection"
1626,electron-nucleus,"Electron-nucleus, anglesElectron-nucleus, electron-nucleus, measures non-nuclear, neutron-rich nuclei"
1627,energy levels,"differing levels, energy levels, energy scale, energy-level, energy-level spacings"
1628,exists,exists
1629,experiment,"PSI experiment, experience, experiment, experimental, experimentally, experiments"
1630,experimental results,"experimental binding, experimental deuteron, experimental information, experimental point-nucleon, experimental radius, experimental results, experimental status"
1631,logarithmic,"algorithm, larger atomic, logarithm, logarithmic, logarithmic branch, logarithmic derivative, logarithms, movable logarithmic, no-logarithm"
1632,nuclear finite,"Ball-Marx-Vinnikov, Nuclear quantities, nuclear center, nuclear excited, nuclear finite, nuclear ground-state, nuclear length, nuclear magnetic, nuclear quantities, nuclei tritium, nucleus vanishes"
1633,performed,"perform, performed, performed decades, performs, perturbed"
1634,result,result
1635,scattering data,"scattering Coulomb, scattering data, scattering dataNuclear, scattering electrons, scattering polarized"
1636,second-generation,"Second-generationNuclear, second-generation, second-generation forces, second-order axiom, using second-generation"
1637,three-nucleon forces,"nucleon-nucleon forces, three-nucleon forceNuclear, three-nucleon forces, two-nucleon problem"
1638,topic,"Atomic, Logic, Skopik, Topics, atomic, atomic D-H, exotic, final topic, policy, topic, topics, two-pion, typical"
1639,tritium-hydrogen,"deuterium-hydrogen, shift deuterium-hydrogen, shift hydrogen, shift tritium-hydrogen, tritium-hydrogen, tritium-hydrogen isotope"
1640,vacuum polarization,"Vacuum polarization, atomic polarization, vacuum polarization, vacuum polarizationVacuum"
1641,van Kolck,"van Kolck, van KolcknQCD, van Moerbeke"
1642,GFMCGreen's,"GFMC GFMCGreen's, GFMCGreen's, GFMCGreen's Function"
1643,S-state,"P-state, S-state, S-state wave, S-states, Software, restate"
1644,Theoretical,"FriarTheoretical, Theoretical, Theoretische, fixed critical, shaded vertical, theoretical, theoryChiral"
1645,Wentworth,"D'Arcy Wentworth, Wadsworth, Wentworth, Wentworth Thompson, trustworthy"
1646,calculate,"Evaluate, actually calculate, calcul, calculate, calculated, calculates, calculus"
1647,chiral symmetry,"Chiral symmetry, QEDChiral symmetry, broken-symmetry, chiral symmetry, chiral symmetryChiral, circular symmetry, latter symmetry, symmetryChiral symmetry"
1648,contribute,"attributes, contribute, contributes"
1649,coupling constants,"Coulomb demonstrates, complex constant, complex constants, counting arguments, coupling constants, denoting constants"
1650,densityNuclear charge,"densityNuclear charge, densityNuclear current, densityNuclear radii, densityczechNuclear charge"
1651,deuteron radius,"deuteron produces, deuteron radii, deuteron radius, deuteron value, deuteron wave, deuteron's radius, deuterontau plays, proton's radius"
1652,deuteron's charge,"deuteron's charge, deuteron's magnetic, deuteron's quadrupole, deuteron's weak, neutron charge"
1653,electromagnetic interaction,"electromagnetic currents, electromagnetic interaction, magnetic interaction"
1654,electron mass,"center-of-mass, electron mass, electron spin, electronic Lamb, electronic atoms, few-electron atoms, small-pion-mass"
1655,everything,"Everything, everything, everything else, everywhere"
1656,finite-size corrections,"appropriate corrections, finite-size contributions, finite-size corrections, finite-size effects, higher-order corrections"
1657,first-generation,"Effros-Winkler separation, first-generation, first-order axioms, third-generation, using first-generation"
1658,first-generation nuclear,"First-generationNuclear, Third-generationNuclear, first-generation nuclear, first-generation nuclear-force, second-generation nuclear"
1659,fixed,fixed
1660,isotope shift,"D-H isotope-shift, Isotope shift, Isotope shifts, Kaup-Kupershmidt, Precise isotope-shift, d-pIsotope shift, isotope shift, isotope shifts, isotope-shift, shiftIsotope shift, shiftsIsotope shift"
1661,magnitude larger,"magnitude larger, magnitude smaller"
1662,neutrons,"neutron, neutron looks, neutron's, neutron's size, neutron-rich, neutrons, neutrons', neutrons' effect, nez Alonso"
1663,nuclear finite-size,"Nuclear finite-sizeLamb, P-state finite-size, nuclear finite-size, nuclear-finite-size, nuclear-finite-size recoil"
1664,numerical errors,"numerical errors, numerical precision, numerical uncertainty, numerical values"
1665,polarizability deuterium,"polarizabilitiesHyperfine, polarizability correction, polarizability deuterium, polarizabilityElectric, polarized deuterons, susceptibility deuterium"
1666,polarizabilityPolarizability,"deuterium polarizabilityPolarizability, polarizabilitiesho-polPolarizability, polarizabilityElectric polarizability, polarizabilityPolarizability, polarizabilityPolarizability electric"
1667,positively charged,"essentially unchanged, negatively charged, nonpositively graded, positively charged"
1668,qualitative,"brief qualitative, powerful qualitative, qualitative, qualitative overview, qualitative technique, quantitative, quantitative proof"
1669,radiative processes,"radiative process, radiative processes, sophisticated procedure"
1670,radiusNuclear,"charge densityNuclear, charge densityczechNuclear, currentsNuclear, densityNuclear, radiiNuclear, radius currently, radius leads, radius removed, radiusNuclear, radiusNuclear radii, various nuclear"
1671,rinker,"Effros-Winkler, Kronecker, Pronk Moer, Rinker, Spinger, Springer, Winkler, infer, linked, rinker"
1672,scaleNuclear,"dataNuclear, densityczechNuclear, exchangeNuclear, length scaleNuclear, partNuclear, scale appears, scaleNuclear, scaleNuclear scales, sizeNuclear, total nuclear, usual nuclear"
1673,splitting spin-dependent,"nuclear spin-dependent, splitting spin-dependent"
1674,transform,"Berezin transforms, trace norm, transferred, transform, transformed, transformed PDE, transforms, transpose"
1675,Bohr-Sommerfeld quantization,Bohr-Sommerfeld quantization
1676,Calculational techniques,"Calculational techniques, calculational techniques"
1677,Chiral perturbation,"Chiral perturbation, Choose permutation, chiral perturbation, multi-valued perturbation, theoryChiral perturbation"
1678,Fermi contribution,"Fermi contribution, center-of-mass contribution, exotic contributions, intrinsic contribution, leading contribution"
1679,FriarTheoretical Division,FriarTheoretical Division
1680,Gerasimov-Drell-Hearn sum,"Gerasimov-Drell-Hearn, Gerasimov-Drell-Hearn sum"
1681,Hamiltonian,"Hamiltonian, Hamiltonian system"
1682,Nuclear phenomenology,"Nuclear phenomenology, dataNuclear phenomenology"
1683,Ref,"Def, RGC, Reeb, Ref, Refs, Rel, Rep, Rev, deff, eAf, kRe, ref, sef"
1684,Rosenfelder's,"Rosenfelder, Rosenfelder's, Rosenfelder's result, RosenfelderCoulomb"
1685,RosenfelderCoulomb contains,RosenfelderCoulomb contains
1686,Zemach correctionzemachHyperfine,"Zemach correctionzemachHyperfine, Zemach momentszemachHyperfine, correctionzemachHyperfine"
1687,accurately calculatedAccurate,accurately calculatedAccurate
1688,amplitude,"Compton amplitude, ampliated LMI, amplitude, magnitude"
1689,amplitudeCompton,"Compton amplitudeCompton, amplitudeCompton, examplec-mecCompton"
1690,amplitudeCompton amplitude,"amplitudeCompton amplitude, examplec-mecCompton amplitude"
1691,analysesSimon,"analysesSimon, analysesSimon Coulomb, analysis intended, analysis questions, recent analysesSimon"
1692,atomic hyperfine,"Atomic hyperfine, ThomasHuTh define, ThomasPaTh define, atomic hyperfine, atomsHyperfine"
1693,basically non-relativistic,"basically non-relativistic, essentially non-relativistic, leading-order non-relativistic"
1694,believed,"achieved, badly behaved, believed, believes"
1695,calculate nuclear,"Accurate nuclear, calculate nuclear, calculated energies, calculatedAccurate, calculatedAccurate nuclear, calculating nuclear, calculations trinucleon, relevant nuclear"
1696,charge-form-factor,"charge-form-factor, charge-form-factor data"
1697,charges,"Chazy's, Schur-Agler, change, changes, changes', charge, charged, charged core, charged-meson, charges, hardest"
1698,comparison purposesneutron,comparison purposesneutron
1699,complete,complete
1700,computationally,"Rotationally, computation practically, computational, computational skills, computationally, computationally simple, computations cumbersome"
1701,correctionzemachHyperfine splitting,"correctionzemachHyperfine splitting, momentszemachHyperfine splitting"
1702,corresponding electron-scattering,corresponding electron-scattering
1703,crossed-photon process,"crossed-photon process, two-photon process"
1704,d-pol,"Topol, W-mod, d-pol, d-pol-g, d-pol-x, dipole, ho-pol"
1705,density meson-exchange,"amplitude meson-exchange, charged-meson exchange, density meson-exchange, heavy-meson exchange, treating meson-exchange"
1706,deuterium influences,"clearly influences, deuterium contributes, deuterium effect, deuterium influences, deuterium suggests, properties influence"
1707,deuteriumHyperfine,"deuteriumHyperfine, deuteriumd-nuHyperfine, deuteriumho-size, splittingHyperfine"
1708,deuterons,"PaiLecons, deuterium, deuteron, deuteron's, deuterons, deuterontau, heavy mesons"
1709,discussed earlier,"discussed earlier, discussed embeddings, discussed gluing, discussed quotient, discusses reliability, introduced earlier, observed earlier, remarked earlier"
1710,distributionNuclear,"charge distributionNuclear, distributionNuclear, distributionNuclear radii, interactionNuclear, neutron's sizeNuclear, probability distributionNuclear"
1711,divide nuclear,"amplitude nuclear, divide nuclear, dominant nuclear, excited nuclear, extract nuclear, fixed nuclear, heavier nuclei, high-Z nuclear, judge nuclear, light-nuclear, pointlike nucleons, primary nuclear, provide nuclear, receive nuclear, shift nuclear, simple nuclear, single nucleon"
1712,electric field,"electric dipole, electric field, electric fields, residue field"
1713,electricElectric,"corrections Electric, deuteron's electricElectric, deuteronElectric, electricElectric, nucleiElectric"
1714,electron-nucleus scatteringElectron-nucleus,electron-nucleus scatteringElectron-nucleus
1715,electron-scattering,"electron scattering, electron-scattering, electron-scattering measurement"
1716,estimated,"Estimate, Motivated, estimated, estimateradius, estimates, exhibited, norm estimates, ultimate"
1717,excellent review,"excellent approximation, excellent opportunity, excellent review, exchanging heavier, experience proves, well-organized review"
1718,exist,exist
1719,exists,exists
1720,final problem,"existence problem, final problem, formulated problem, isomonodromy problem, moduli problem, original problem, similar problem, trace problem"
1721,five-nucleon systems,"few-electron systems, five-nucleon systems, six-nucleon systems, three-nucleon systems"
1722,fmNuclear radii,"Nuclear radii, fmNuclear radii, functionNuclear radii, radiiNuclear radii, sizeNuclear radii"
1723,forceNuclear,"forceNuclear, forces Nuclear, forces play, momentNuclear, tensor forceNuclear"
1724,generalized polarizabilitiesho-polPolarizability,generalized polarizabilitiesho-polPolarizability
1725,generated,generated
1726,generated,generated
1727,ground-state charge,"ground-state charge, ground-state current, ground-state quantities, transmitted charge"
1728,higher orders,"Higher Topos, higher degree, higher orders, higher powers, higher-order"
1729,highly recommend,"highly desirable, highly recommend, highly recommended, strongly recommend"
1730,hydrogenLamb,"hydrogen, hydrogen Lamb, hydrogen atom, hydrogen isotopes, hydrogenLamb, hydrogenLamb shift, hydrogenic, hydrogenic atoms, muonic hydrogenLamb"
1731,individual parameterization,individual parameterization
1732,interaction caused,"interaction caused, interaction inside, interaction mediated, interactions resulting, interactionshad-vp, interesting classes"
1733,internal degrees,"external source, internal degrees, uncertainty degrades"
1734,involving short-range,"important short-range, involving short-range, involving strongly, missing short-range"
1735,isotope-shift measurement,"isotope-shift measurement, isotope-shift measurements"
1736,isotopesLi-ISIsotope,"isotope shiftIsotope, isotope shiftsIsotope, isotopesLi-ISIsotope, isotopesLi-ISIsotope shift"
1737,leading-order term,"leading-order radiative, leading-order term, leading-order terms, sub-leading-order terms"
1738,long-range nuclear,"fine-tuning nuclear, long-range nuclear, long-range partNuclear, short-rangeNuclear"
1739,longer-range,"long-range, longer range, longer-range, shorter-range"
1740,longer-range forces,"long-range forces, longer-range forces, pion-exchange forces, shorter-range forces"
1741,loop diagrams,"flow diagrams, loop diagrams, two-loop diagrams"
1742,low energy,"Bohr energy, Dirac energy, Fermi energy, atomic energy, dozen energy, low energy, low energyQnuc"
